title,text,tag,allTtags,link
Create charts from Google Sheets using Google Apps Script,"Google Apps Script is a cloud-based tool used for automating basic tasks. You can write your code in modern JavaScript. Using Apps Script you can add custom menus, write custom functions and macros for Google sheets, and can publish your web Apps. You can automate tasks in Google Sheets, Google Docs, gmail, etc. For using this, you will need a Google account and Google Chrome installed in your system. It is written in script editor in Google Chrome.In this article, we will be writing a script to create a chart from the data available in Google Sheet. Here, we will be using Chart.js which is a JavaScript library. We are basically developing a web app by publishing the script .Web App: The script can be published as web app if it contains the function either doGet(e) or doPost(e) and the function must return HTML Service HtmlOutput object. You will learn how to link HTML file to the script in the steps discussed below. Procedure for writing code in Script Editor:Let’s see step by step implementation.Step 1: Prepare your Google Sheet data. We are having the data of the number of Covid cases in different states in India in lakhs which is as shown below. So, the first step is to prepare your data.Step 2: Add standard Google Apps Script function doGet(e) to code.gs file.  Next step is to go to the tools and select script editor. Save it as ‘Chart’ or any other name.Here we are saving as code.gs . Also create a new HTML file and save it as ‘webappchart.html’ .Add the below code in code.gs file.The above function is the standard Google Apps Script function which is used to publish/deploy your web app. This function returns an output file that is nothing but your HTML file.Now let’ understand the relation between HTML file and code.gs file:Step 3: Add the required CDN in your HTML file. Next open your HTML file i.e webappchart.html and we will include the cdn for jQuery and Chartjs which we will be using to make our chart.<script src=”https://ajax.googleapis.com/ajax/libs/jquery/3.6.0/jquery.min.js”></script><script src=”https://cdnjs.cloudflare.com/ajax/libs/Chart.js/3.4.1/chart.js” integrity=”sha512-lUsN5TEogpe12qeV8NF4cxlJJatTZ12jnx9WXkFXOy7yFbuHwYRTjmctvwbRIuZPhv+lpvy7Cm9o8T9e+9pTrg==” crossorigin=”anonymous” referrerpolicy=”no-referrer”>Step 4: Create a canvas for the rendering charts. In the next step we complete our html code by adding canvas for displaying our chart inside a div element in the body tag as written below:The HTML code is completed over here and now we add the script code. Step 5: Adding the jQuery Script Code. We initially write the standard jQuery method which is called when the screen is fully loaded with html code and we call getCases() method inside it which we will be defining in the next step. We then define our getCases() function as below:In the above code we are calling the standard function of Google Apps Script.Syntax:Step 6: Defining function in code.gs file to return data retrieved from Google Sheet. The function getCases which is called over here is defined in the code.gs file as below.Add the below code in code.gs file:Explanation: In the above code we are setting the active spreadsheet to ss and the sheet which is required i.e., Sheet 1 to casesSheet . Then we are getting the last row and setting it in getLastrow variable. Finally we are returning the values from the range given above i.e., starting from second row and so on. An array containing the values from the whole sheet is returned over here and it will be accessible as ar. We are then iterating over the array and pushing the first item in an array as label[] and the second item in an array as data[]. We then will be using these arrays for creating a chart.Step 7: Creating the chart. Now the data is prepared and we create a bar chart as below:Explanation: In the above code we are assigning number of cases to data and labels are nothing but names of different states in my case. Then we are setting the background color and the border colors of all the bars in our bar chart.Step 8: Running the WebApp:Now let’s see the complete code of the above implementation.Output:Attention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",javascript,"['HTML-Questions', 'JavaScript-Questions', 'HTML', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/create-charts-from-google-sheets-using-google-apps-script/
Describe closure concept in JavaScript,"In this article, you will learn about the concept of closure in Javascript & how to apply it to the functions. The closure in javascript is a way to combine all the functions & binds them in bundles with the lexical environment. We will deep dive into the closure concept as we grow in this article. Prerequisite: Before we proceed to our main discussion, you should have a good working knowledge of javascript functions i.e. how memory allocation takes place, variable scope concept, the lexical environment in javascript. Let’s first start discussing the basic javascript program examples:In case, if you don’t know how to add & execute the javascript in the HTML document, please refer to Where to put JavaScript in an HTML Document? article for further detailed knowledge.We will quickly view that how the javascript code is being executed. For this, add the <script> tag in the index.html file for a reference to external javascript code or define the code inside the <script> tag. Subsequently, open the developer’s console tab on the browser to see the output of the code.  Now, we will understand all the basic concepts like how the function works, how a function can be declared inside another function using the scope chain, returning the function from the function, through the examples, then will understand the closure concept.Example 1: Here, we are simply illustrating the working of function as shown below:Explanation:  Output: Example 2: In this section, we will discuss the function inside the function using a scope chain to access the variable.Explanation: Output:Example 3: In this case, we will discuss the returning function from the function.Explanation: Output:Example 4:  Here comes the closure part. Let’s say you don’t only have a simple console.log but some variables are also declared inside the function b(). Now, just stop here & think about the output of the code.Explanation: Output: Definition: A closure is the combination of functions bunched together with its lexical environment. The lexical environment is the local function memory & the reference to the lexical environment of a parent. In other words, closure is created when a child function keep the environment of the parent scope even after the parent function has already been executed. This reference to the lexical environment of a parent is the reason why closure functions have access to the variables of outer functions even if those functions are not in the call stack or we can say even if the outer functions are closed.How closures are created: Closure gets created whenever some function is being created at the time of the creation of another function. In the above example, the function inner is being created at the time of the creation of function a(). Few Usecases & Examples of Closures:1. Privacy: Whenever we have to hide some functionality or variable as encapsulation, we wrapped that thing inside the lexical environment of the parent. Example: The below example is a basic template of encapsulation with closures. Explanation: Output: In the first line, Secret Data is being printed when accessed by the closure and in the next line ReferenceError is being thrown by javascript when anyone from outside tries to access that.2. Partial Functions: When we have to create some kind of functionality in which there exists a common pattern then we create a parent function that takes few parameters and create an inner function that takes fewer parameters than the parent. This concept is also called higher-order functions in which we return functions from function. Example: The below example provides a basic illustration of how this partial function looks like. Explanation:Output:",javascript,"['javascript-basics', 'JavaScript-Questions', 'Picked', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/describe-closure-concept-in-javascript/
How to Create Windows 11 Interface using HTML5 ?,"In this article, we will see how to create a windows 11 interface using HTML5.Approach: To create Windows 11 interface we will use HTML, CSS, and JavaScript. If you want to change to design you can add more functionality to it. In this article, we will divide the whole thing into three different part creating the structure, styling the structure and add functionality.Below is the step-by-step implementation of the above approach.Step 1: In this section we will create the basic structure using HTML for the Windows 11 interface. We will give the title as “Try Windows 11” and add necessary images using <img> tag. Also add the necessary links using the <link> tag. Step 2: Styling the Structure: In the previous section, we HAVE created the structure of the windows 11 interface. Now we will add some CSS properties on it. Different classes will have different properties.Class named taskbar will have CSS properties such as:Class named right will have  CSS properties such as:Class named startmenu will have CSS properties such as:Step 3: Add functionality to the website: We will write the JavaScript for the start menu and taskbar. First we will create two variables named taskbar and startmenu then inside this variable we will use the document.getElementsByClassName() method which returns a collection of all elements in the document with the specified class name, as an HTMLCollection object.Now in the taskbar, we will add an event listener for a click that attaches an event handler to the document, and inside it, we will create an if-else statement such as if the bottom property of startmenu is 50px then update it into -655px else if it is not 50px update it into 50px. This will make the taskbar responsive.Output:Attention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",javascript,"['CSS-Properties', 'CSS-Questions', 'HTML-Questions', 'HTML5', 'JavaScript-Questions', 'Picked', 'CSS', 'HTML', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-create-windows-11-interface-using-html5/
How to detect caps lock key turned on or not ?,"While working with some kind of web application we often need to know various information about user interaction to execute our functionality accordingly i.e. we use APIs to handle button clicks, methods to listen to the keys, etc. Similarly, there may be some cases when we need to know whether Caps Lock is active or not. One use case of this can be the authentication system where the application notifies the user when caps lock is on during entering passwords. Hopefully, javascript provides methods and techniques to work around this situation and we are going to discuss all stuff in this article.KeyboardEvent: This Web API is used to deal with the user interaction by keyboard, the various event describes which kind of activity is been occurred.The event which occurs due to the keyboard comes under KeyboardEvent Object.Modifier Keys: These keys are used in conjunction with other keys to perform some special purpose or shortcut. There are two types of modifier keys that remain activated when pressed i.e. shift, ctrl, alt, etc. The other ones are those which are activated when pressed and deactivated when pressed again i.e. capslock, etc.getModifierState: This is the method of the KeyboardEvent object and returns a boolean on whether the given modifier key is activated or not during that event.Syntax:Example: Now we will detect whether the Capslock key is turned on or not. Here we are going to demonstrate a simple example in which we will detect the activation state of the caps lock key.Step 1: Here we have created a simple HTML page that contains one div with some text and input elements and one paragraph to display warning text.Step 2: This index.js file is attached in the script tag of the former HTML file. We are simply extracting the input element to add an event listener also we are extracting the warning text paragraph to change its style. After then we have passed a callback function to method addEventListener for “keyup” event. Inside that function, we are checking whether the caps lock key was turned on or when the key was released.Output: This would be the output of the above code snippet, each time when we press the key it would generate an event on the key release.  Explanation: Here we have typed “abc” in starting as soon as we press the caps lock the event will generate and then the functionality detects it and changes that p element to appear. Again when we press caps lock the event will generate on the key release and functionality detects it, due to which next time when we will press any key the p tag will hide. Attention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",javascript,"['HTML-Questions', 'JavaScript-Events', 'JavaScript-Questions', 'Picked', 'HTML', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-detect-caps-lock-key-turned-on-or-not/
What is the use of integrity attribute in HTML ?,"In this article, we will learn the purpose of using the integrity attribute in HTML & will also understand its implementation through an example. HTML introduced a new attribute called “integrity”. The purpose of the integrity attribute is used to give permission to the browser to check the fetched script to make ensure the source code is never loaded if an unexpected manipulation has been made. It is used to check that whether the third party has been altered the resource or not. A Subresource Integrity (SRI) is a security feature developed by w3consortium, especially for the control of CORS requests. It gives surety that the fetched external scripts would not be altered by the third party. It specifies the base64-encoded cryptographic hash of a resource(source file).The working process of SRI follow as:Syntax: Attributes:Note: The integrity attribute can only be used with the <link> tag or the <script> tag.Example: This example illustrates the HTML integrity attribute by declaring it inside the <script> tag.Output:Attention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",javascript,"['HTML-Questions', 'JavaScript-Questions', 'HTML', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/what-is-the-use-of-integrity-attribute-in-html/
How to use a closure to create a private counter in JavaScript ?,"A closure is a combination of a function bundled together (enclosed) with references to its surrounding state (the lexical environment). In other words, a closure gives you access to an outer function’s scope from an inner function.Example: Here the inner forms closure with outer. The str variable can be called a private member whose value we can access, but not modify directly.Output:The concept of a private counter means that publicly/globally we could not modify the counter variable directly. The below step-by-step guide will teach you how to implement a private counter with closure and understand it.Step 1: Create counter.js and index.html files. You can give any allowed names to the files.Step 2: First begin with the index.html file and create a front-end to see the counter. We would create a <div> to show the value of the counter and two buttons, one for incrementing and the other for decrementing the counter.Here we are handling clicks on buttons using the counterHandler function which is in the JavaScript file. The value of the buttons helps us to distinguish which button was clicked. And have an id of the div so that we could use it to update it from JavaScript code.Step 3: Let’s now work with the counter.js file and implement behind-the-scenes functions.When the buttons get clicked counterHandler is called, we get the value of the button from objButton Object. If the value is one (1) then to be incremented else to be decremented the value of the counter which is count variable.In the counter function, we have a counter variable count, increment function to increment, and decrement function to decrement the value by one. The modify function is returned as closure to the global when the counter function is called and we store its instance in closure constant.Finally, we modify the div content to the value of the counter returned by closure using its innerHTML property.Step 3: Copy the full path of the HTML index.html file and paste it into any browser. After loading the HTML file in the browser, you would see something similar to it. Now play with the increment and decrement buttons and observe the value of counter changing.Now let’s see what happens in the backend using Developers Tool when the button is clicked. In the below image we had made the counter value equals -1. To see how the scope is defined and related to it.Scope in Developers ToolCounter value on the frontendThis is how you could implement a private counter variable using closures in JavaScript. Closures provide a way to achieve the functionality of data encapsulation in JavaScript.References: https://developer.mozilla.org/en-US/docs/Web/JavaScript/ClosuresAttention reader! Don’t stop learning now. Get hold of all the important HTML concepts with the Web Design for Beginners | HTML  course.",javascript,"['HTML-Questions', 'JavaScript-Questions', 'Picked', 'HTML', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-use-a-closure-to-create-a-private-counter-in-javascript/
What is currying function in JavaScript ?,"It is a technique in functional programming, transformation of the function of multiple arguments into several functions of a single argument in sequence. The translation of function happens something like this,function simpleFunction(param1, param2, param3, …..) => function curriedFunction(param1)(param2)(param3)(….We simply wrap function inside a function, which means we are going to return a function from another function to obtain this kind of translation. The parent function takes the first provided argument and returns the function that takes the next argument and this keeps on repeating till the number of arguments ends. Hopefully, the function that receives the last argument returns the expected result.  Note: An American mathematician named Haskell Curry developed this technique, that’s why it is called as currying.Example 1: Let’s say we have the length, breadth, and height of a cuboid and we want to construct a function that can calculate the volume. The function is being called which consequently executes its code by provided arguments and returns the appropriate result, FInally console.log prints the returned value on console.Output:Example 2: This example explains the currying technique with the help of closures. During the thread of execution, the calculateVolume() function will be invoked. Inside there is an anonymous function, receiving a parameter and returning some code. We are exposing our function from another function, so the closure will be created. Closure always contains the function definition along with the lexical environment of the parent, both things remain connected as a bundle. Hence, it does not matter where we invoke them, the all inner functions will always hold access to the variable of their parent.As soon as we have got the returned result as a function the next argument is ready to be passed, this process will continue till the second last function. Finally, the innermost return keyword returns the expected result.Output:",javascript,"['javascript-functions', 'JavaScript-Questions', 'Picked', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/what-is-currying-function-in-javascript/
React.js Pokémon App.,"Introduction: In this article, we will be going to see how to Build a Pokémon App using React.js and Pokémon API.Pre-requisite:Approach: This web app is going to be a one-paged web app where we are going show to different types of Pokémon and some of their features will also be mentioned there, we will get all these data using a free API resource https://pokeapi.co/. We will set a Load More button, clicking that button the page will load more Pokémon on our webpage (no. of  Pokémon will depend on the limit value that we would have set in our API call ).Now let’s see the step-by-step implementation of the above approach. Creating the react app and installing all the required packages:Step 1: Create a React application using the following command:Step 2: After creating your project folder i.e. foldername, move to it using the following command:Project Structure: It will look like the following.file explorerIgnore the build folder for now, when you will be done with making this app, if you want to deploy your app somewhere then you have to run “npm run build” in your terminal which will create a build folder. Then you just simply need to drag and drop that build folder in your deploying website https://www.netlify.com/.Step 3: Now inside src folder, edit your App.js. For loadPoke you can set any limit that you want, here I have set the limit as 20. In this file we are using two useState hooks container one for fetching all the data with their name using https://pokeapi.co/api/v2/pokemon/${pokemon.name} within the useEffect and and another one is for loading more Pokémon on onClick event of More Pokemons button fetching the API https://pokeapi.co/api/v2/pokemon?limit=20. Then within the  Pokémon app container, we are structuring the whole Pokémon card with required characteristics and setting the props for other components. Step 4: Now inside the src folder, make a Components folder, make two files within this folder one for the Pokémon thumbnail and another one is  for the description.  In your src/Components/PokemonThumnail.js(or whatever name you like to give) paste the code given below. In this file, we are using all the required props which have been passed by the App.js and creating the whole Pokémon thumbnail structure. Here we have useState for show to show the Descripton.js component on clicking the Load More buttons by default it has been set as false .Step 5: Paste the code given below in your src/Components/Description.js(or whatever name you will give). In this file, we are making a component for giving the description about the Pokémon, here also we are using props that have been passed by App.js. There is a know more button in our Pokémon thumbnail, on clicking that particular button this description will be shown in our Thumbnail UI, and on clicking Know less thumbnail will show its initial state.   Step 6: Go to your src/index.css , paste the code given below , this will add styling to your Pokémon web app for all the components.Step to Run Application: Run the application using the following command from the root directory of the project:Output: Now open your browser and go to http://localhost:3000/, you will see the following output:",javascript,"['CSS-Questions', 'JavaScript-Questions', 'React-Questions', 'JavaScript', 'ReactJS', 'Web Technologies']",https://www.geeksforgeeks.org/react-js-pokemon-app/
How to make ajax call from JavaScript ?,"Ajax stands for Asynchronous JavaScript and XML. It is used to make asynchronous communication with the server. Ajax is used to read data from the server and update the page or send data to the server without affecting the current client page. Ajax is a programming concept. Below are some ways to make Ajax call in JavaScript.Approach 1: In this approach, we will use the XMLHttpRequest object to make Ajax call. The XMLHttpRequest() method which create XMLHttpRequest object which is used to make request with server.  Syntax: Above syntax is used to create XMLHttpRequest object. This object has many different methods which are used to interact with the server to send, receive or interrupt responses from the server. In the response, we get a string from the server that we print. Example: Output: Approach 2: In this approach, we will use jQuery to make an ajax call. The ajax() method is used in jQuery to make ajax calls. It is used as a replacement for all approaches which are not working to make ajax calls. Syntax:Parameter: It takes a configuration file that configures the URL, type, function to call when we get our response or if error, etc. Example: Output: Approach 3: In this approach, we will use fetch() API which is used to make XMLHttpRequest with the server. Because of its flexible structure, it is easy to use. This API makes a request to the server and gets the result as a promise which is resolved to the string.Syntax: Parameter: It takes URL and config of request as parameters. We will configure the data required and make the request to the server. Since it is a resolved promise we use then() function and catch() function to create output for the result. In response, we get the string that we print. Example: Output: ",javascript,"['JavaScript-Methods', 'javascript-object', 'JavaScript-Questions', 'Picked', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-make-ajax-call-from-javascript/
How to write a function in JavaScript ?,"Introduction: A function is a collection of reusable code that may be invoked from anywhere in your application. This avoids the need to write the same code again and over. It aids programmers in the creation of modular code. Functions enable a programmer to break down a large program into several smaller and more manageable functions.Functions are one of JavaScript’s core building elements. In JavaScript, a function is comparable to a procedure—a series of words that performs a task or calculates a value—but for a process to qualify as a function, it must accept some input and produce an output with a clear link between the input and the result. To utilize a function, it must be defined in some place within the scope from which it will be called.Function Definition: A function definition or function statement starts with the function keyword and continues with the following.Syntax:Function Calling: To call a function at a later point in the script, simply type the function’s name. By default, all JavaScript functions can utilize arguments objects. Each parameter’s value is stored in an arguments object. The arguments object is similar to an array. Its values may be accessed using an index, much like an array. It does not, however, provide array methods.  Output:Function Arguments: A function can contain one or more arguments that are sent by the calling code and can be utilized within the function. Because JavaScript is a dynamically typed programming language, a function argument can have any data type as a value.Output:Return Value: A return statement is an optional part of a JavaScript function. If you wish to return a value from a function, you must do this. This should be the final statement of a function.Output:Function Expression: We may assign a function to a variable and then utilize that variable as a function in JavaScript. It is known as a function expression.Output:Types of functions in JavaScript:1. Named function: A named function is one that we write in code and then use whenever we need it by referencing its name and providing it some parameters. Named functions come in handy when we need to call a function several times to give various values to it or run it multiple times.Output:2. Anonymous function: We can define a function in JavaScript without giving it a name. This nameless function is referred to as the anonymous function. A variable must be assigned to an anonymous function.Output:3. Nested Functions: A function in JavaScript can contain one or more inner functions. These nested functions fall within the purview of the outer function. The inner function has access to the variables and arguments of the outer function. However, variables declared within inner functions cannot be accessed by outer functions.Output:4. Immediately invoked function expression: The browser executes the invoked function expression as soon as it detects it. This function has the advantage of running instantly where it is situated in the code and producing direct output. That is, it is unaffected by code that occurs later in the script and can be beneficial.Output:",javascript,"['javascript-functions', 'JavaScript-Questions', 'Picked', 'JavaScript', 'Web Technologies']",https://www.geeksforgeeks.org/how-to-write-a-function-in-javascript/
